Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524437401230,147548305618186,1.7420197,-0.4323578,-1.9772186
android.sensor.gyroscope,1524437401249,147548325515647,1.111908,-0.6883087,-1.0297546
android.sensor.gyroscope,1524437401269,147548345413108,0.41122437,-0.9103546,-0.41184998
android.sensor.gyroscope,1524437401289,147548365249534,-0.14955139,-1.0282593,-0.086868286
android.sensor.gyroscope,1524437401309,147548385146995,-0.48918152,-1.1999207,0.11685181
android.sensor.gyroscope,1524437401328,147548405044456,-0.6635895,-1.1803741,0.30255127
android.sensor.gyroscope,1524437401349,147548424941917,-0.6767273,-0.87127686,0.4247284
android.sensor.gyroscope,1524437401368,147548444839378,-0.60006714,-0.55911255,0.4219818
android.sensor.gyroscope,1524437401388,147548464675803,-0.5029297,-0.41311646,0.35020447
android.sensor.gyroscope,1524437401408,147548484538694,-0.44335938,-0.25276184,0.24116516
android.sensor.gyroscope,1524437401428,147548504436155,-0.3859558,-0.13365173,0.21061707
android.sensor.gyroscope,1524437401448,147548524272581,-0.3935852,-0.16816711,0.21611023
android.sensor.gyroscope,1524437401468,147548544170042,-0.41374207,-0.2164154,0.20939636
android.sensor.gyroscope,1524437401487,147548564067503,-0.61257935,-0.16448975,0.13395691
android.sensor.gyroscope,1524437401508,147548583903929,-0.3468628,-0.40211487,0.07408142
android.sensor.gyroscope,1524437401528,147548603801390,-0.25674438,-0.3007202,0.084472656
android.sensor.gyroscope,1524437401548,147548623698851,-0.22254944,-0.21366882,0.16113281
android.sensor.gyroscope,1524437401567,147548643535276,-0.21949768,-0.026443481,0.20205688
android.sensor.gyroscope,1524437401587,147548663432737,-0.23597717,0.11100769,0.1586914
android.sensor.gyroscope,1524437401607,147548683330198,-0.24209595,0.021820068,0.13027954
android.sensor.gyroscope,1524437401627,147548703227659,-0.20880127,-0.06340027,0.15045166
android.sensor.gyroscope,1524437401646,147548723064085,-0.15382385,0.019683838,0.19656372
android.sensor.gyroscope,1524437401666,147548742961546,-0.114730835,0.20845032,0.2322998
android.sensor.gyroscope,1524437401686,147548762859007,-0.09486389,0.25975037,0.23291016
android.sensor.gyroscope,1524437401706,147548782695433,-0.15870667,0.22431946,0.24269104
android.sensor.gyroscope,1524437401726,147548802592893,-0.21551514,0.20263672,0.24879456
android.sensor.gyroscope,1524437401746,147548822490354,-0.18772888,0.09390259,0.22253418
android.sensor.gyroscope,1524437401766,147548842326780,-0.14344788,0.022125244,0.18649292
android.sensor.gyroscope,1524437401786,147548862224241,-0.11715698,0.09512329,0.15655518
android.sensor.gyroscope,1524437401806,147548882121702,-0.11656189,0.20812988,0.1327362
android.sensor.gyroscope,1524437401825,147548901958128,-0.04295349,0.22401428,0.119903564
android.sensor.gyroscope,1524437401844,147548921855589,-0.0050811768,0.20019531,0.1867981
android.sensor.gyroscope,1524437401864,147548941753050,-0.024627686,0.19805908,0.2164154
android.sensor.gyroscope,1524437401884,147548961589476,-0.044784546,0.18278503,0.19076538
android.sensor.gyroscope,1524437401904,147548981486936,-0.010879517,0.09390259,0.18312073
android.sensor.gyroscope,1524437401924,147549001384397,0.028839111,0.00440979,0.16418457
android.sensor.gyroscope,1524437401944,147549021281858,0.040130615,-0.07347107,0.13426208
android.sensor.gyroscope,1524437401964,147549041118284,0.031570435,-0.09210205,0.09944153
android.sensor.gyroscope,1524437401984,147549061015745,0.05204773,-0.035598755,0.059127808
