Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524438861943,149008923204111,0.04850769,2.2888184E-4,0.011169434
android.sensor.gyroscope,1524438861943,149008943071055,0.03842163,0.0060424805,0.020492554
android.sensor.gyroscope,1524438861943,149008962968516,0.054763794,-0.010604858,0.023986816
android.sensor.gyroscope,1524438861943,149008982835459,0.04988098,-0.0032806396,0.022476196
android.sensor.gyroscope,1524438861943,149009002702402,0.0362854,-0.004348755,0.014831543
android.sensor.gyroscope,1524438861958,149009022569346,0.027893066,-0.002670288,0.014373779
android.sensor.gyroscope,1524438861978,149009042436289,0.041641235,-0.0074005127,0.02658081
android.sensor.gyroscope,1524438861998,149009062333750,0.049728394,-0.025726318,0.022476196
android.sensor.gyroscope,1524438862018,149009082200693,0.020874023,-3.8146973E-4,0.024765015
android.sensor.gyroscope,1524438862038,149009102067637,0.0045318604,0.021621704,0.020339966
android.sensor.gyroscope,1524438862058,149009121965098,0.04698181,0.0037384033,0.019882202
android.sensor.gyroscope,1524438862078,149009141862559,0.07875061,-0.026489258,0.010406494
android.sensor.gyroscope,1524438862097,149009161729502,0.028198242,-0.01701355,-0.004257202
android.sensor.gyroscope,1524438862117,149009181596445,-0.037460327,-0.010437012,-0.0062408447
android.sensor.gyroscope,1524438862137,149009201493906,-0.04586792,-0.008911133,-4.272461E-4
android.sensor.gyroscope,1524438862157,149009221360850,-0.0017242432,-0.038238525,-0.0034942627
android.sensor.gyroscope,1524438862177,149009241227793,0.023162842,-0.021896362,-0.014328003
android.sensor.gyroscope,1524438862197,149009261094736,0.014602661,0.017044067,-0.0053253174
android.sensor.gyroscope,1524438862218,149009280961680,0.0028381348,0.029266357,0.005065918
android.sensor.gyroscope,1524438862237,149009300859141,0.0020751953,0.023925781,0.015914917
android.sensor.gyroscope,1524438862256,149009320726084,-0.023406982,0.026367188,0.021408081
android.sensor.gyroscope,1524438862277,149009340593027,-0.062057495,0.03277588,0.0128479
android.sensor.gyroscope,1524438862297,149009360490488,-0.0791626,0.04637146,0.029190063
android.sensor.gyroscope,1524438862316,149009380387949,-0.07701111,0.072784424,0.04827881
android.sensor.gyroscope,1524438862336,149009400254893,-0.10221863,0.09614563,0.078063965
android.sensor.gyroscope,1524438862356,149009420121836,-0.13046265,0.1187439,0.12783813
android.sensor.gyroscope,1524438862376,149009440019297,-0.16375732,0.14807129,0.20756531
android.sensor.gyroscope,1524438862396,149009459886240,-0.20713806,0.17311096,0.28315735
android.sensor.gyroscope,1524438862416,149009479753184,-0.25248718,0.15586853,0.34439087
android.sensor.gyroscope,1524438862436,149009499650645,-0.24806213,0.14012146,0.38121033
android.sensor.gyroscope,1524438862457,149009519517588,-0.19110107,0.1370697,0.411438
android.sensor.gyroscope,1524438862475,149009539384531,-0.15246582,0.16212463,0.47512817
android.sensor.gyroscope,1524438862495,149009559251475,-0.29586792,0.23924255,0.4862671
android.sensor.gyroscope,1524438862515,149009579118418,-0.47270203,0.2138977,0.41740417
android.sensor.gyroscope,1524438862535,149009599015879,-0.48583984,0.09538269,0.32164
android.sensor.gyroscope,1524438862555,149009618882822,-0.3798523,0.099349976,0.21092224
android.sensor.gyroscope,1524438862575,149009638749766,-0.40322876,0.13296509,0.18312073
android.sensor.gyroscope,1524438862595,149009658647227,-0.59976196,0.14698792,0.18556213
android.sensor.gyroscope,1524438862614,149009678544688,-0.76852417,0.004196167,0.137146
android.sensor.gyroscope,1524438862635,149009698411631,-0.8326721,-0.100860596,0.096832275
android.sensor.gyroscope,1524438862655,149009718278574,-0.55166626,-0.023284912,0.1015625
android.sensor.gyroscope,1524438862674,149009738176035,0.043777466,0.0773468,0.13912964
android.sensor.gyroscope,1524438862694,149009758042979,0.35440063,0.14424133,0.062316895
android.sensor.gyroscope,1524438862714,149009777909922,0.5272827,0.0881958,-0.15759277
android.sensor.gyroscope,1524438862734,149009797776865,1.093399,-0.30703735,-0.33840942
android.sensor.gyroscope,1524438862754,149009817643809,1.4686279,-0.714798,-0.64888
